gene_id	gene_name	gene_type	SRR8114380	SRR8114381	SRR8114382	SRR8114383	SRR8114384	SRR8114385
ENSG00000002834.18	LASP1	protein_coding	0	0	1	0	0	0	0
ENSG00000004399.12	PLXND1	protein_coding	0	0	0	1	0	0	0
ENSG00000005339.14	CREBBP	protein_coding	0	0	0	0	0	1	0
ENSG00000006555.11	TTC22	protein_coding	0	0	0	3	2	3	0
ENSG00000006788.14	MYH13	protein_coding	9	9	6	13	4	1	10
ENSG00000007168.13	PAFAH1B1	protein_coding	82	82	128	145	134	80	114
ENSG00000007545.15	CRAMP1	protein_coding	0	0	0	0	1	0	0
ENSG00000007933.13	FMO3	protein_coding	2	2	2	0	1	1	2
ENSG00000008226.20	DLEC1	protein_coding	1	1	0	0	1	0	0
ENSG00000008300.17	CELSR3	protein_coding	2	2	8	0	7	3	5
ENSG00000008513.16	ST3GAL1	protein_coding	1	1	0	0	0	0	0
ENSG00000008710.19	PKD1	protein_coding	1	1	2	3	10	3	4
ENSG00000011258.16	MBTD1	protein_coding	0	0	0	1	0	0	0
ENSG00000012171.20	SEMA3B	protein_coding	0	0	1	0	0	0	0
ENSG00000013619.14	MAMLD1	protein_coding	0	0	0	1	0	0	0
ENSG00000014257.16	ACPP	protein_coding	0	0	0	0	0	0	1
ENSG00000015133.19	CCDC88C	protein_coding	0	0	0	0	0	0	1
ENSG00000018189.13	RUFY3	protein_coding	0	0	1	0	0	1	0
ENSG00000022976.15	ZNF839	protein_coding	0	0	0	0	1	0	1
ENSG00000029364.12	SLC39A9	protein_coding	0	0	1	0	0	0	1
ENSG00000036257.13	CUL3	protein_coding	0	0	0	0	0	0	1
ENSG00000036473.8	OTC	protein_coding	0	0	0	0	0	0	1
ENSG00000041802.11	LSG1	protein_coding	1	1	0	0	0	0	0
ENSG00000043355.12	ZIC2	protein_coding	1	1	0	0	0	0	0
ENSG00000043591.6	ADRB1	protein_coding	9	9	23	18	17	5	21
ENSG00000044574.8	HSPA5	protein_coding	4	4	6	9	4	6	9
ENSG00000047249.18	ATP6V1H	protein_coding	4	4	3	9	4	2	5
ENSG00000048052.21	HDAC9	protein_coding	3	3	0	1	1	0	0
ENSG00000049618.23	ARID1B	protein_coding	5	5	1	4	3	2	1
ENSG00000050767.17	COL23A1	protein_coding	0	0	0	0	2	0	0
ENSG00000052795.13	FNIP2	protein_coding	0	0	0	0	1	0	0
ENSG00000058056.9	USP13	protein_coding	9	9	15	10	7	2	7
ENSG00000060138.13	YBX3	protein_coding	0	0	2	3	2	3	3
ENSG00000060237.17	WNK1	protein_coding	1	1	0	0	0	0	0
ENSG00000061337.15	LZTS1	protein_coding	0	0	1	1	0	2	1
ENSG00000062038.14	CDH3	protein_coding	0	0	0	0	0	0	1
ENSG00000062282.15	DGAT2	protein_coding	1	1	9	15	8	4	5
ENSG00000062650.19	WAPL	protein_coding	0	0	0	0	0	0	1
ENSG00000063761.16	ADCK1	protein_coding	1	1	0	0	0	0	0
ENSG00000064393.16	HIPK2	protein_coding	0	0	0	1	0	0	0
ENSG00000064961.19	HMG20B	protein_coding	1	1	2	2	3	1	2
ENSG00000065609.14	SNAP91	protein_coding	0	0	0	0	0	1	0
ENSG00000066044.15	ELAVL1	protein_coding	0	0	0	0	1	0	0
ENSG00000066084.13	DIP2B	protein_coding	0	0	1	1	0	0	0
ENSG00000067560.12	RHOA	protein_coding	0	0	0	0	1	0	0
ENSG00000068323.17	TFE3	protein_coding	0	0	1	0	0	0	0
ENSG00000068366.20	ACSL4	protein_coding	0	0	1	0	0	0	0
ENSG00000068796.16	KIF2A	protein_coding	0	0	0	0	0	0	1
ENSG00000070269.14	TMEM260	protein_coding	0	0	0	0	0	1	0
ENSG00000070413.20	DGCR2	protein_coding	1	1	2	2	1	1	2
ENSG00000070614.15	NDST1	protein_coding	0	0	1	1	0	0	1
ENSG00000071189.21	SNX13	protein_coding	3	3	7	10	9	7	9
ENSG00000071246.11	VASH1	protein_coding	0	0	0	0	1	0	0
ENSG00000071564.16	TCF3	protein_coding	0	0	1	1	0	1	1
ENSG00000072071.16	ADGRL1	protein_coding	0	0	0	0	0	1	0
ENSG00000072195.15	SPEG	protein_coding	0	0	0	0	0	0	1
ENSG00000072210.19	ALDH3A2	protein_coding	1	1	1	1	1	0	1
ENSG00000072422.17	RHOBTB1	protein_coding	0	0	0	0	0	0	1
ENSG00000073169.14	SELENOO	protein_coding	0	0	0	0	0	1	0
ENSG00000073670.14	ADAM11	protein_coding	1	1	1	0	3	1	0
ENSG00000073849.15	ST6GAL1	protein_coding	3	3	5	5	7	0	4
ENSG00000074964.17	ARHGEF10L	protein_coding	0	0	0	0	1	0	0
ENSG00000075568.17	TMEM131	protein_coding	21	21	34	37	32	10	28
ENSG00000077522.13	ACTN2	protein_coding	0	0	1	0	0	0	1
ENSG00000077721.16	UBE2A	protein_coding	0	0	1	1	1	2	2
ENSG00000078061.13	ARAF	protein_coding	0	0	0	1	0	0	0
ENSG00000078328.21	RBFOX1	protein_coding	10	10	16	18	4	1	10
ENSG00000078814.15	MYH7B	protein_coding	2	2	4	3	3	2	1
ENSG00000079335.20	CDC14A	protein_coding	6	6	9	13	8	9	12
ENSG00000079691.18	CARMIL1	protein_coding	0	0	0	0	0	1	0
ENSG00000080371.6	RAB21	protein_coding	0	0	0	0	1	0	0
ENSG00000080493.17	SLC4A4	protein_coding	0	0	0	0	0	1	0
ENSG00000080573.7	COL5A3	protein_coding	1	1	0	0	0	0	0
ENSG00000080845.17	DLGAP4	protein_coding	1	1	0	1	0	0	0
ENSG00000081014.11	AP4E1	protein_coding	0	0	0	0	1	0	0
ENSG00000081760.17	AACS	protein_coding	24	24	47	51	39	19	31
ENSG00000081985.11	IL12RB2	protein_coding	0	0	1	3	0	0	1
ENSG00000083223.18	TUT7	protein_coding	1	1	3	2	2	2	4
ENSG00000083457.12	ITGAE	protein_coding	32	32	45	46	35	17	34
ENSG00000084070.12	SMAP2	protein_coding	0	0	1	0	0	2	1
ENSG00000084623.11	EIF3I	protein_coding	0	0	0	1	0	0	0
ENSG00000084636.18	COL16A1	protein_coding	0	0	0	1	0	0	0
ENSG00000084674.14	APOB	protein_coding	0	0	1	0	0	0	0
ENSG00000084764.12	MAPRE3	protein_coding	0	0	1	0	0	0	0
ENSG00000085982.13	USP40	protein_coding	0	0	1	0	0	0	0
ENSG00000087274.17	ADD1	protein_coding	0	0	0	0	1	0	0
ENSG00000087460.25	GNAS	protein_coding	0	0	0	0	0	1	0
ENSG00000087495.17	PHACTR3	protein_coding	3	3	1	0	4	0	1
ENSG00000088340.16	FER1L4	transcribed_unitary_pseudogene	0	0	0	2	0	0	0
ENSG00000088367.23	EPB41L1	protein_coding	0	0	1	0	0	0	0
ENSG00000088538.13	DOCK3	protein_coding	2	2	3	2	3	0	2
ENSG00000088833.17	NSFL1C	protein_coding	1	1	0	0	0	0	0
ENSG00000088836.14	SLC4A11	protein_coding	0	0	0	1	0	0	0
ENSG00000089597.18	GANAB	protein_coding	1	1	0	4	3	0	2
ENSG00000089737.17	DDX24	protein_coding	1	1	1	5	3	1	3
ENSG00000090975.12	PITPNM2	protein_coding	0	0	0	1	1	0	0
ENSG00000091010.6	POU4F3	protein_coding	1	1	0	0	2	1	2
ENSG00000091513.16	TF	protein_coding	1	1	2	1	0	0	0
ENSG00000091536.19	MYO15A	protein_coding	2	2	1	1	1	1	0
ENSG00000091656.19	ZFHX4	protein_coding	0	0	1	0	0	0	0
ENSG00000091986.15	CCDC80	protein_coding	1	1	0	0	0	0	0
ENSG00000092148.13	HECTD1	protein_coding	0	0	0	0	1	0	0
ENSG00000092853.14	CLSPN	protein_coding	2	2	8	2	0	1	2
ENSG00000095321.17	CRAT	protein_coding	1	1	0	0	0	0	0
ENSG00000095397.14	WHRN	protein_coding	0	0	0	1	0	0	0
ENSG00000095464.10	PDE6C	protein_coding	0	0	0	0	0	0	1
ENSG00000095574.11	IKZF5	protein_coding	4	4	4	3	1	1	3
ENSG00000096070.19	BRPF3	protein_coding	0	0	1	1	0	1	0
ENSG00000096384.20	HSP90AB1	protein_coding	0	0	1	0	0	0	0
ENSG00000099341.11	PSMD8	protein_coding	2	2	3	7	0	0	2
ENSG00000099617.4	EFNA2	protein_coding	0	0	1	0	0	0	0
ENSG00000099864.18	PALM	protein_coding	0	0	1	0	0	0	0
ENSG00000099957.16	P2RX6	protein_coding	0	0	2	0	0	0	0
ENSG00000100226.16	GTPBP1	protein_coding	96	96	136	175	137	76	136
ENSG00000100314.4	CABP7	protein_coding	0	0	0	0	0	0	1
ENSG00000100346.18	CACNA1I	protein_coding	0	0	0	0	1	0	0
ENSG00000100425.18	BRD1	protein_coding	0	0	0	0	0	0	1
ENSG00000100583.4	SAMD15	protein_coding	1	1	0	0	0	0	0
ENSG00000100644.17	HIF1A	protein_coding	0	0	0	0	1	0	0
ENSG00000100678.18	SLC8A3	protein_coding	3	3	4	3	2	1	1
ENSG00000100697.14	DICER1	protein_coding	0	0	0	1	0	0	0
ENSG00000100796.17	PPP4R3A	protein_coding	0	0	0	0	0	1	0
ENSG00000101138.12	CSTF1	protein_coding	0	0	0	0	0	0	1
ENSG00000101294.17	HM13	protein_coding	0	0	1	0	0	0	0
ENSG00000101323.5	HAO1	protein_coding	0	0	0	1	0	0	0
