"","Identifier","Annotation","InChIKey","Species","count","ESI mode","m/z","RT","qc_mean","qc_sd","qc_cv","class","ESI","keep","molwt"
"Ceramide 34:1 d","5.78_572.48_5.76_596.53","Ceramide 34:1 d","YDNKGFDKKRUKPY-TURZORIXSA-N","[M+Cl]-_[M+Hac-H]-",40,"(-) ES)","572.4815_596.5264",5.77,20985.4,1064.5744689781,19.7124772493785,"Cer","neg",TRUE,537.512098
"Ceramide 38:1 d","7.18_628.55","Ceramide 38:1 d","XWBWIAOWSABHFI-NUKVNZTCSA-N","[M+Cl]-",40,"(-) ES)","628.54520000000002",7.18,4417,217.008064366281,20.3540822913598,"Cer","neg",TRUE,593.575798
"Ceramide 41:1 d","8.18_670.59","Ceramide 41:1 d","NAJHAHQNQCNWOP-PUYNVXOJSA-N?","[M+Cl]-",40,"(-) ES)","670.5915",8.18,18551.4,1472.39831567412,12.599443915763,"Cer","neg",TRUE,635.622098
"Ceramide 42:1 d","8.50_684.61_8.50_708.65","Ceramide 42:1 d","ZJVVOYPTFQEGPH-AUTSUKAISA-N","[M+Cl]-",40,"(-) ES)","684.6068_708.6511",8.5,165194.6,14628.2495637721,11.2928480799996,"Cer","neg",TRUE,649.637398
"Ceramide 42:2 d","7.91_682.59","Ceramide 42:2 d","VJSBNBBOSZJDKB-KPEYJIHVSA-N","[M+Cl]-",38,"(-) ES)","682.59320000000002",7.91,1172.4,967.783705173837,1.21142771234137,"Cer","neg",TRUE,647.623798
"GlcCer 40:1 d","7.18_818.63","GlcCer 40:1 d","YIGARKIIFOHVPF-YAEABVQUSA-N","[M+Cl]-",40,"(-) ES)","818.6277",7.18,4717.2,360.515880371448,13.0845831122328,"Cer","neg",TRUE,783.658298
"GlcCer 42:1 d","7.83_846.66","GlcCer 42:1 d","POQRWMRXUOPCLD-AAAFHMTMSA-N","[M+Cl]-",40,"(-) ES)","846.65840000000003",7.83,2958,2820.59949301562,1.0487132282781,"Cer","neg",TRUE,811.688998
"GlcCer 42:2 d","7.16_844.65","GlcCer 42:2 d","WBOZIXHPUPAOIA-RBELZSLISA-N","[M+Cl]-",40,"(-) ES)","844.64530000000002",7.16,4191.2,446.888912370849,9.37861711037922,"Cer","neg",TRUE,809.675898
"PC 32:2","4.58_788.54","PC 32:2","GPWHCUUIQMGELX-VHQDNGOZSA-N","[M+Hac-H]-",40,"(-) ES)","788.54459999999995",4.58,2769.6,276.667309236202,10.0105791596632,"PC","neg",TRUE,729.530749
"PC 34:2","5.18_816.58","PC 34:2","JLPULHDHAOZNQI-ZTIMHPMXSA-N","[M+Hac-H]-",40,"(-) ES)","816.57709999999997",5.18,139850.2,9551.88241657109,14.641114065368,"PC","neg",TRUE,757.563249
"PC 34:3","4.82_814.56","PC 34:3","CNNSEHUKQJCGTE-UPPWDXJYSA-N","[M+Hac-H]-",40,"(-) ES)","814.56100000000004",4.82,3042,710.058096214669,4.28415648834504,"PC","neg",TRUE,755.547149
"PC 35:2","5.51_830.59","PC 35:2","ZSKWZJYUVZYDQU-WESJWMGVSA-N","[M+Hac-H]-",40,"(-) ES)","830.58969999999999",5.51,3962,189.910505238652,20.8624583196234,"PC","neg",TRUE,771.575849
"PC 36:3","5.35_842.59","PC 36:3","YPAZQMWFRMHBBM-CLKMJQEKSA-N","[M+Hac-H]-",40,"(-) ES)","842.59220000000005",5.35,29331.6,1624.9213211722,18.0510893775709,"PC","neg",TRUE,783.578349
"PC 36:5","4.70_838.56","PC 36:5","DYDDZDMJSQYFGN-OIVUZXIWSA-N","[M+Hac-H]-",40,"(-) ES)","838.5607",4.7,7166.6,244.435676610433,29.3189607154675,"PC","neg",TRUE,779.546849
"PC 38:3","6.03_870.62","PC 38:3","OJHJKEBRZSDTTL-VHWCKNCUSA-N","[M+Hac-H]-",40,"(-) ES)","870.62429999999995",6.03,16112,791.96433000483,20.344350609707,"PC","neg",TRUE,811.610449
"PC 40:5","5.77_894.62","PC 40:5","LJFKFKIYUJNFPZ-ZLFSCUDPSA-N","[M+Hac-H]-",40,"(-) ES)","894.62239999999997",5.77,1905.4,963.017029963645,1.97857352540477,"PC","neg",TRUE,835.608549
"PC 40:6","5.57_892.61","PC 40:6","FYVNIFOYDIIODX-KNKJIUSSSA-N","[M+Hac-H]-",40,"(-) ES)","892.60749999999996",5.57,8686.8,568.841542083558,15.271036584603,"PC","neg",TRUE,833.593649
"PC 34:1 p","5.58_802.60","PC 34:1 p","MBRHHFWRXQYYAN-RTVLTNFHSA-N","[M+Hac-H]-",40,"(-) ES)","802.59670000000006",5.58,3406.8,143.072359315138,23.8117272707862,"PC","neg",TRUE,743.582849
"PC 34:2 p","5.47_800.58","PC 34:2 p","QLEHHUPUHJPURI-PWYDUFMYSA-N","[M+Hac-H]-",40,"(-) ES)","800.58069999999998",5.47,6450.2,392.448340549428,16.435793793827,"PC","neg",TRUE,741.566849
"PC 36:3 p","5.47_826.60","PC 36:3 p","SOUZQPFUXRVDGK-KCTKZSJBSA-N","[M+Hac-H]-",40,"(-) ES)","826.59720000000004",5.47,8328.8,296.581691950127,28.0826505008966,"PC","neg",TRUE,767.583349
"PC 38:4 p","6.02_852.61","PC 38:4 p","DBQMOXDLWKVKKG-REWQMPQJSA-N","[M+Hac-H]-",40,"(-) ES)","852.61329999999998",6.02,1793.8,199.162496469591,9.00671578132122,"PC","neg",TRUE,793.599449
"PE 36:2","5.97_742.54","PE 36:2","MWRBNPKJOOWZPW-CLFAGFIQSA-N","[M-H]-",40,"(-) ES)","742.53880000000004",5.97,3449.2,357.979329012165,9.63519320938999,"PE","neg",TRUE,743.546076
"PE 36:4","5.20_738.51","PE 36:4","DUQDVNACTOXOJA-KTKXOIIHSA-N","[M-H]-",40,"(-) ES)","738.50840000000005",5.2,5900.6,469.45905039737,12.5689343831064,"PE","neg",TRUE,739.515676
"PE 38:6","5.07_762.51","PE 38:6","VRBJSZDBPQLNEM-PFTGJCAASA-N","[M-H]-",38,"(-) ES)","762.50789999999995",5.07,3845,295.317625616894,13.0198798394377,"PE","neg",TRUE,763.515176
"PE 34:2 p","5.63_698.51","PE 34:2 p","LALFTIIBOJSVNP-OBEJFMRTSA-N","[M-H]-",40,"(-) ES)","698.51189999999997",5.63,2925.2,154.517636533827,18.9311722960479,"PE","neg",TRUE,699.519176
"PE 36:2 p","6.30_726.54","PE 36:2 p","XVXISDREVDGQPX-PISDLAQISA-N","[M-H]-",40,"(-) ES)","726.54150000000004",6.3,3731.4,207.714467478796,17.9640833173111,"PE","neg",TRUE,727.548776
"PE 36:4 p","5.50_722.51","PE 36:4 p","UUYSKERSKRMYME-MAIXUNBTSA-N","[M-H]-",40,"(-) ES)","722.51289999999995",5.5,9129.4,821.995620426289,11.1063852083123,"PE","neg",TRUE,723.520176
"PE 38:4 p","6.19_750.54","PE 38:4 p","URPXXNCTXCOATD-FXMFQVEGSA-N","[M-H]-",40,"(-) ES)","750.54489999999998",6.19,9397.8,1279.04757534659,7.34749838953676,"PE","neg",TRUE,751.552176
"PE 38:5 p","5.56_748.53","PE 38:5 p","KCNBSSYOJRUKOM-JALPNNRCSA-N","[M-H]-",40,"(-) ES)","748.52880000000005",5.56,8159,1366.34915010769,5.97138732757799,"PE","neg",TRUE,749.536076
"PE 38:6 p","5.32_746.51","PE 38:6 p","WVGALBKSWOUIEZ-XNHMFJFDSA-N","[M-H]-",40,"(-) ES)","746.51260000000002",5.32,5213.6,240.67883164084,21.6620629427857,"PE","neg",TRUE,747.519876
"PE 40:6 p","5.97_774.54","PE 40:6 p","FIJFPUAJUDAZEY-MNDXXDKYSA-N","[M-H]-",40,"(-) ES)","774.54409999999996",5.97,2529,262.193630738811,9.64554323029803,"PE","neg",TRUE,775.551376
"SM 33:1 d","4.57_747.57","SM 33:1 d","LQINJRUGTUOHGS-YPDYIYJKSA-N","[M+Hac-H]-",40,"(-) ES)","747.56690000000003",4.57,4975.4,2219.55081041187,2.24162473625766,"SM","neg",TRUE,688.553049
